ID,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,"('KEY2', 'KEY2MAX')","('KEY2', 'KEY2MIN')",2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PMG,PMG2,REC,RECENCE
0,0,77,141.0,160,2014-06-01,2013-02-01,24174,24158,30.0,6.5,,15.0,,,,,13.0,11.0,22.0,24.0,7.0,7.0,2.5,2.0,1.0,,,,,,0.5,69.5,1.0,11.0,,3.0,,7.0,,12.0,0.5,35.5,,1.0,,4. P,4,3,5
1,1,79,3098.7,356,2014-10-01,2013-02-01,24178,24158,643.5,909.8,132.7,,,,,,5.5,10.0,1124.0,195.2,28.0,21.0,,4.0,,1.0,,,24.0,,69.0,95.0,617.0,20.5,440.0,700.5,,33.5,77.5,942.5,10.5,53.0,,39.2,0.5,3. M,3,4,1
2,2,83,7.6,6,2013-10-01,2013-04-01,24166,24160,,,2.5,,,1.0,,,4.1,,,,,,,,,,,,,,,1.0,0.5,,,,,,,2.0,,2.0,,2.1,,4. P,4,1,13
3,3,89,625.0,1038,2014-10-01,2013-03-01,24178,24159,,2.0,2.5,1.5,2.0,2.0,,,20.0,44.0,50.5,67.0,23.0,309.5,86.5,2.0,,3.0,8.5,,1.0,,468.0,101.5,4.0,2.5,,0.5,,9.0,16.0,10.0,0.5,11.0,1.0,1.0,,4. P,4,4,1
4,4,90,255.5,155,2014-06-01,2013-02-01,24174,24158,4.5,1.0,21.5,35.0,,,,41.5,33.5,38.5,8.5,40.0,15.0,1.0,,4.0,11.5,,,,,,72.0,142.0,,27.5,,3.0,,,,,,11.0,,,,4. P,4,3,5
5,5,93,3601.5,697,2014-07-01,2013-05-01,24175,24161,,,,88.0,134.0,87.0,93.0,555.5,333.5,158.0,711.0,760.0,202.5,68.0,146.0,146.0,104.0,15.0,,,,,1358.0,1400.0,27.5,337.5,29.0,11.5,,0.5,41.0,374.0,1.5,14.0,7.0,,,3. M,3,3,4
6,6,95,1510.5,1040,2014-11-01,2013-05-01,24179,24161,,,,6.0,12.0,,,,,,,211.5,410.0,148.5,,,,,,,549.5,173.0,151.0,142.0,12.0,4.0,33.0,,,265.5,214.5,4.0,,669.0,15.5,,,4. P,4,4,0
7,7,96,114.5,63,2014-11-01,2013-02-01,24179,24158,34.0,32.5,3.0,2.0,,,,,,,6.5,18.5,7.5,,,,7.5,,,,,3.0,38.5,26.5,1.5,0.5,0.5,,,2.5,,,,10.0,34.5,,,4. P,4,4,0
8,8,102,23709.5,756,2014-04-01,2013-02-01,24172,24158,49.5,940.5,1018.0,710.0,1488.0,10048.5,4990.5,172.0,390.0,,282.0,2801.5,335.0,434.0,50.0,,,,,,,,14846.0,7320.5,887.0,460.0,101.0,,,1.0,35.0,,,15.0,44.0,,,2. G,2,2,7
9,9,103,5901.5,3070,2014-11-01,2013-02-01,24179,24158,78.0,846.5,20.0,122.0,50.5,48.5,27.5,76.5,179.5,343.5,786.0,375.5,305.0,168.0,186.5,332.5,73.5,54.5,661.0,850.0,234.0,82.5,2760.5,1429.0,489.5,817.5,19.5,3.0,9.0,4.5,50.0,,15.0,52.0,252.0,,,3. M,3,4,0
10,10,104,2219.5,497,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,387.0,540.0,586.0,87.5,20.0,,110.5,25.0,84.5,234.0,30.0,60.0,55.0,1047.0,1143.5,13.5,,2.0,,,,3.5,4.0,,6.0,,,,3. M,3,4,0
11,11,105,3291.5,660,2014-11-01,2013-03-01,24179,24159,,18.5,,104.0,428.5,296.0,426.0,271.0,133.5,227.0,322.5,120.5,131.5,213.0,,10.0,174.0,50.0,20.0,112.0,118.5,115.0,2695.0,25.0,55.0,,11.0,,,15.5,342.0,75.0,,,61.0,12.0,,3. M,3,4,0
12,12,106,4.0,2,2013-12-01,2013-02-01,24168,24158,3.0,,,,,,,,,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,4. P,4,2,11
13,13,133,3367.5,524,2014-11-01,2013-02-01,24179,24158,33.0,449.0,103.0,390.5,103.0,15.5,246.0,440.0,7.0,80.0,239.0,354.5,57.0,61.5,83.0,13.0,6.0,1.5,,101.5,357.5,226.0,53.0,23.5,352.0,138.0,7.0,0.5,,0.5,8.5,1078.0,4.0,213.5,1478.0,5.5,5.5,3. M,3,4,0
14,14,147,4445.0,7292,2014-02-01,2013-02-01,24170,24158,90.0,280.0,207.0,165.5,467.5,353.0,501.0,294.0,394.5,487.5,513.0,458.0,234.0,,,,,,,,,,2362.0,1481.5,424.0,81.0,4.5,,,,,,,92.0,,,,3. M,3,2,9
15,15,151,9301.5,485,2014-10-01,2013-03-01,24178,24159,,132.0,,,15.0,100.0,699.5,365.0,100.0,93.0,138.0,683.0,100.0,,173.0,36.0,419.0,2122.0,1904.0,1722.0,500.0,,5248.5,3909.0,23.0,116.0,5.0,,,,,,,,,,,3. M,3,4,1
16,16,152,2122.0,860,2014-11-01,2013-03-01,24179,24159,,3.0,,21.0,76.0,57.0,48.0,33.0,29.0,56.0,166.0,169.0,113.5,63.0,94.0,43.0,68.0,89.0,50.0,91.0,362.5,490.0,579.0,1240.0,23.5,6.0,9.0,,,37.0,,12.0,,200.5,15.0,,,3. M,3,4,0
17,17,153,4.0,3,2013-04-01,2013-02-01,24160,24158,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4. P,4,1,19
18,18,160,8.0,2,2014-10-01,2014-02-01,24178,24170,,,,,,,,,,,,,3.0,,,,,,,,5.0,,3.0,5.0,,,,,,,,,,,,,,4. P,4,4,1
19,19,168,14535.0,2679,2014-10-01,2013-02-01,24178,24158,22.5,89.0,10.5,318.5,635.0,862.0,1935.5,377.0,616.0,536.5,102.0,2216.5,866.0,2554.0,1489.5,249.0,895.0,220.5,451.5,74.5,14.0,,5794.0,7520.0,386.0,115.5,345.5,2.0,5.5,124.0,27.0,4.0,,132.0,79.5,,,2. G,2,4,1
20,20,169,686.0,421,2014-10-01,2013-08-01,24178,24164,,,,,,,21.5,130.0,6.0,,,,,,,,134.0,190.5,187.0,12.0,5.0,,234.5,8.0,198.5,1.0,67.0,,,40.0,57.5,,18.0,54.5,3.0,,4.0,4. P,4,4,1
21,21,172,6710.5,2820,2014-11-01,2013-03-01,24179,24159,,12.5,106.5,78.0,107.5,55.0,48.0,138.0,563.0,223.0,819.5,1281.0,1422.5,438.5,240.5,256.5,46.0,,178.5,,300.0,396.0,2923.0,56.0,22.0,,246.0,,132.0,1187.0,499.0,48.0,,326.0,1271.5,,,3. M,3,4,0
22,22,175,8851.0,360,2014-02-01,2013-04-01,24170,24160,,,43.5,244.5,179.5,30.0,131.0,,302.5,3784.0,2357.5,1210.0,568.5,,,,,,,,,,1395.5,3506.5,518.0,981.0,106.0,,,303.0,18.0,1075.5,,947.5,,,,3. M,3,2,9
23,23,181,21210.5,743,2014-11-01,2013-09-01,24179,24165,,,,,,,,1176.5,572.0,4243.0,5070.0,1978.0,1439.0,,,,,461.0,251.0,1082.0,4347.5,590.5,8978.0,6605.5,,2181.5,152.5,2587.0,,393.0,,,,313.0,,,,2. G,2,4,0
24,24,188,4095.0,1183,2014-11-01,2013-02-01,24179,24158,54.0,258.0,189.0,212.0,182.0,189.0,157.0,167.5,127.0,136.0,325.0,364.0,154.0,87.0,53.0,31.0,105.5,221.5,292.0,554.5,144.5,91.5,381.5,383.5,42.5,55.5,12.0,,,,2.0,3188.0,29.5,,0.5,,,3. M,3,4,0
25,25,194,2107.0,756,2014-11-01,2013-02-01,24179,24158,29.0,67.5,72.0,146.5,108.0,156.0,71.0,30.0,73.0,48.5,129.0,272.5,238.5,45.0,,63.5,119.0,204.5,55.0,132.5,20.5,25.5,3.0,14.0,1.0,,1.0,367.0,15.0,,592.5,66.5,883.5,4.0,49.0,2.0,108.5,3. M,3,4,0
26,26,202,28.5,12,2013-09-01,2013-09-01,24165,24165,,,,,,,,28.5,,,,,,,,,,,,,,,4.0,20.0,1.5,,,3.0,,,,,,,,,,4. P,4,1,14
27,27,211,208.5,284,2014-11-01,2013-05-01,24179,24161,,,,44.0,10.5,5.0,32.5,6.5,,,,,15.0,,,,,,6.0,3.5,,85.5,50.0,115.5,1.0,19.0,0.5,3.5,,0.5,1.0,4.0,3.0,8.0,,,2.5,4. P,4,4,0
28,28,221,3.0,1,2013-02-01,2013-02-01,24158,24158,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4. P,4,1,21
29,29,227,46645.5,434,2014-11-01,2013-03-01,24179,24159,,331.0,87.0,2083.0,2092.0,,383.0,28.5,1238.5,2043.0,2102.5,809.5,13.0,1155.0,1680.5,522.0,1013.0,2337.5,2251.0,483.0,21837.0,4155.5,14985.0,29694.5,804.5,826.5,53.0,7.5,,17.5,,,77.0,180.0,,,,2. G,2,4,0
30,30,247,1077.0,1083,2014-06-01,2013-03-01,24174,24159,,19.0,,,,62.0,160.0,,,,38.0,103.0,329.0,53.0,20.0,,293.0,,,,,,558.0,,132.5,,14.5,,8.5,52.0,70.5,4.0,17.5,153.0,16.5,22.0,28.0,4. P,4,3,5
31,31,249,441.5,856,2014-11-01,2013-09-01,24179,24165,,,,,,,,6.5,,,3.0,,,,26.0,74.0,54.0,111.5,39.0,46.5,45.5,35.5,184.0,169.5,21.5,52.0,2.0,,,,,,,12.5,,,,4. P,4,4,0
32,32,250,846.0,186,2014-02-01,2013-02-01,24170,24158,102.0,60.0,,,,,,,25.5,186.0,423.0,38.5,11.0,,,,,,,,,,99.0,242.0,84.0,81.5,19.0,9.0,,5.0,,,,268.0,38.5,,,4. P,4,2,9
33,33,269,24613.8,10785,2014-11-01,2013-02-01,24179,24158,1856.5,2418.5,1888.0,2384.0,1822.75,617.5,954.25,670.25,516.0,141.5,1177.5,1583.05,2202.25,797.0,56.5,418.0,1119.75,1147.5,631.0,506.0,789.0,917.0,7872.0,3858.0,1849.0,1171.5,141.5,5.0,3.5,64.5,1673.0,408.5,92.0,5252.0,1473.5,693.3,56.5,2. G,2,4,0
34,34,271,7715.0,828,2014-11-01,2014-01-01,24179,24169,,,,,,,,,,,,208.5,421.5,720.0,100.0,691.5,468.5,829.0,1061.5,636.0,1414.0,1164.5,2951.5,3169.5,295.5,227.5,90.0,79.5,42.0,714.0,,6.0,,132.5,7.0,,,3. M,3,4,0
35,35,273,821.0,18,2013-07-01,2013-03-01,24163,24159,,496.0,,,225.0,100.0,,,,,,,,,,,,,,,,,587.0,215.0,12.0,,2.0,,,,,,3.0,2.0,,,,4. P,4,1,16
36,36,275,932.2,340,2014-11-01,2013-03-01,24179,24159,,98.0,51.2,4.5,25.5,,61.0,18.0,14.0,,84.0,18.0,115.5,40.0,64.0,37.5,19.5,53.5,138.5,19.0,37.5,33.0,28.0,377.0,1.5,,,,,13.5,24.0,118.5,1.0,220.0,125.5,17.7,5.5,4. P,4,4,0
37,37,279,1782.0,2419,2014-11-01,2013-03-01,24179,24159,,18.0,9.5,54.5,171.0,105.5,160.0,137.5,66.0,60.5,45.5,51.0,106.0,22.5,35.5,74.5,133.5,116.5,77.5,150.0,94.0,93.0,1.0,1778.5,,,,1.0,,,1.5,,,,,,,3. M,3,4,0
38,38,302,1538.5,459,2014-04-01,2013-04-01,24172,24160,,,59.0,215.0,209.0,156.0,132.5,6.0,36.0,342.0,160.5,106.5,,15.0,101.0,,,,,,,,794.5,744.0,,,,,,,,,,,,,,4. P,4,2,7
39,39,304,641.0,365,2014-08-01,2013-05-01,24176,24161,,,,35.0,58.0,13.0,62.0,,5.0,222.5,,1.0,126.5,64.5,,,7.5,,46.0,,,,242.0,196.0,76.5,49.0,16.5,,,,20.5,,,40.5,,,,4. P,4,3,3
40,40,306,26.0,4,2013-07-01,2013-07-01,24163,24163,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,4. P,4,1,16
41,41,310,89.2,43,2013-03-01,2013-02-01,24159,24158,46.2,43.0,,,,,,,,,,,,,,,,,,,,,9.0,30.0,,,,,6.0,,5.2,30.0,6.0,3.0,,,,4. P,4,1,20
42,42,320,446.25,358,2014-10-01,2013-02-01,24178,24158,33.5,,33.0,,84.5,1.0,,,22.0,20.0,9.0,,21.0,,22.0,93.0,70.25,17.5,,,19.5,,1.0,2.0,10.0,146.5,17.0,86.0,2.0,17.5,,111.5,16.0,11.5,,15.25,10.0,4. P,4,4,1
43,43,335,99.6,74,2014-09-01,2014-04-01,24177,24172,,,,,,,,,,,,,,,74.5,,,,,25.1,,,1.0,4.0,0.5,16.0,5.0,5.5,5.0,,6.5,34.0,10.5,1.0,7.0,3.1,0.5,4. P,4,3,2
44,44,341,20.0,3,2014-10-01,2013-07-01,24178,24163,,,,,,10.0,,,,,,,,,,,,5.0,,,5.0,,,,,,,,10.0,,,,,,10.0,,,4. P,4,4,1
45,45,350,128.5,44,2013-05-01,2013-02-01,24161,24158,19.5,107.5,0.5,1.0,,,,,,,,,,,,,,,,,,,25.0,44.0,,23.5,,,,,,35.5,,,0.5,,,4. P,4,1,18
46,46,354,2404.5,1216,2014-11-01,2013-08-01,24179,24164,,,,,,,35.0,173.5,196.0,224.0,49.5,597.5,110.5,212.5,49.0,190.0,91.0,80.0,294.5,2.0,32.0,67.5,49.0,10.0,267.0,6.5,45.0,15.5,3.0,317.0,702.0,323.5,257.0,134.0,248.5,19.0,7.5,3. M,3,4,0
47,47,374,336.85,155,2014-01-01,2013-03-01,24169,24159,,15.0,,,78.0,31.85,,197.0,,,,15.0,,,,,,,,,,,,,,,0.5,,,3.0,23.5,20.0,26.5,6.5,2.0,254.85,,4. P,4,2,10
48,48,378,1198.0,538,2013-10-01,2013-03-01,24166,24159,,1045.0,,,,,,,153.0,,,,,,,,,,,,,,421.0,756.0,,19.5,1.5,,,,,,,,,,,4. P,4,1,13
49,49,379,340.15,121,2014-04-01,2013-09-01,24172,24165,,,,,,,,50.0,,,,,,245.55,44.6,,,,,,,,210.0,17.0,21.0,17.0,4.0,0.5,,9.0,,3.0,3.0,27.0,,21.65,7.0,4. P,4,2,7
50,50,385,570.5,278,2014-11-01,2013-02-01,24179,24158,1.5,16.5,16.5,8.0,2.5,7.0,17.5,,,,13.0,9.0,23.5,203.5,134.0,60.0,17.0,18.0,13.5,3.0,4.5,2.0,3.5,156.5,,6.5,5.5,398.5,,,,,,,,,,4. P,4,4,0
51,51,398,4.5,3,2013-02-01,2013-02-01,24158,24158,4.5,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,,,,,,,,,4. P,4,1,21
52,52,400,56.5,61,2014-10-01,2014-08-01,24178,24176,,,,,,,,,,,,,,,,,,,11.5,30.0,15.0,,16.0,5.0,,,1.0,0.5,0.5,2.5,3.0,2.0,1.5,20.5,0.5,,3.5,4. P,4,4,1
53,53,406,206.5,52,2013-04-01,2013-03-01,24160,24159,,167.5,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.0,0.5,68.0,,98.0,35.5,,,4. P,4,1,19
54,54,414,56.5,13,2013-06-01,2013-04-01,24162,24160,,,41.5,,15.0,,,,,,,,,,,,,,,,,,3.0,5.0,28.5,7.5,,,1.5,,,,,10.5,,,0.5,4. P,4,1,17
55,55,425,128.0,126,2014-03-01,2013-07-01,24171,24163,,,,,,34.0,7.0,,,,,,,87.0,,,,,,,,,33.5,51.0,,1.5,,38.0,,,,4.0,,,,,,4. P,4,2,8
56,56,430,2524.0,190,2014-01-01,2013-02-01,24169,24158,9.0,10.0,,,,,251.0,429.0,207.5,104.5,909.0,604.0,,,,,,,,,,,1254.0,1134.5,104.5,5.0,,5.0,,,,,0.5,20.5,,,,3. M,3,2,10
57,57,469,58.0,10,2014-04-01,2013-12-01,24172,24168,,,,,,,,,,,45.0,7.0,,,6.0,,,,,,,,21.0,37.0,,,,,,,,,,,,,,4. P,4,2,7
58,58,471,276.5,105,2014-03-01,2013-03-01,24171,24159,,4.0,11.5,3.0,,,6.0,94.5,7.0,2.0,32.5,64.5,42.0,9.5,,,,,,,,,100.5,36.0,37.0,,3.0,,,,10.5,32.0,0.5,,57.0,,,4. P,4,2,8
59,59,491,10031.5,1828,2014-09-01,2013-02-01,24177,24158,66.0,204.0,185.0,,,,,,,,320.0,814.0,1188.0,1361.0,2400.0,1688.5,455.0,367.5,404.5,578.0,,,8833.0,1184.5,8.5,,,4.5,,,,,,1.0,,,,3. M,3,3,2
60,60,507,213.0,203,2014-11-01,2013-02-01,24179,24158,5.0,5.0,4.5,0.5,,6.5,11.0,12.0,4.5,4.0,8.5,39.0,38.0,20.5,11.5,11.5,7.5,3.5,7.0,3.0,7.0,3.0,11.0,14.0,,1.5,,5.0,4.0,0.5,112.0,44.0,,,19.5,1.0,0.5,4. P,4,4,0
61,61,508,233.0,358,2014-08-01,2013-07-01,24176,24163,,,,,,18.0,59.5,48.5,,,49.0,38.0,,,,,,,20.0,,,,4.0,130.0,,6.0,,17.0,14.5,,9.5,9.0,4.0,27.0,3.5,,8.5,4. P,4,3,3
62,62,522,35.5,24,2013-10-01,2013-02-01,24166,24158,10.5,19.5,,,4.5,,,,1.0,,,,,,,,,,,,,,,22.5,,4.5,,,,,,3.0,,1.5,,4.0,,4. P,4,1,13
63,63,529,764.5,1188,2014-11-01,2013-03-01,24179,24159,,23.0,30.5,45.0,42.5,45.5,33.0,34.0,42.0,48.0,60.5,74.0,43.5,41.5,32.0,41.0,48.0,16.5,22.5,3.0,18.5,20.0,2.5,9.0,5.5,103.0,1.5,268.5,2.0,,23.0,,123.0,59.0,9.0,,158.5,4. P,4,4,0
64,64,533,2.5,1,2013-10-01,2013-10-01,24166,24166,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,4. P,4,1,13
65,65,534,330.0,3,2013-07-01,2013-07-01,24163,24163,,,,,,330.0,,,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,4. P,4,1,16
66,66,566,1592.5,54,2014-03-01,2013-02-01,24171,24158,40.5,188.0,34.5,,,,,,92.5,,,436.0,,801.0,,,,,,,,,45.0,1547.5,,,,,,,,,,,,,,3. M,3,2,8
67,67,581,1015.5,643,2014-11-01,2013-02-01,24179,24158,4.5,1.0,6.0,18.0,2.0,,38.0,13.5,1.0,30.0,73.0,51.0,92.0,209.5,132.0,92.0,7.0,115.0,71.5,,28.0,30.5,218.5,479.0,16.0,167.0,64.0,,14.5,17.0,8.0,10.0,,21.0,0.5,,,4. P,4,4,0
68,68,583,399068.0,1104,2014-04-01,2013-11-01,24172,24167,,,,,,,,,,4250.0,1000.0,80468.0,193290.0,120039.0,21.0,,,,,,,,286662.0,48767.0,22000.0,16102.0,6502.0,,,5528.0,,,4249.0,4270.0,,,4988.0,1. TG,1,2,7
69,69,592,29.5,6,2013-08-01,2013-08-01,24164,24164,,,,,,,29.5,,,,,,,,,,,,,,,,,29.0,,,,,0.5,,,,,,,,,4. P,4,1,15
70,70,638,129.0,67,2014-10-01,2013-02-01,24178,24158,17.0,36.5,3.0,,,,72.0,,,,,,,,,,,,,,0.5,,27.0,4.5,3.0,,5.0,8.0,9.0,5.5,10.5,28.0,12.0,5.0,11.5,,,4. P,4,4,1
71,71,642,122.5,134,2014-10-01,2013-03-01,24178,24159,,6.5,9.5,52.5,32.0,,1.0,,,,,9.0,,,2.0,,,,4.0,1.0,5.0,,,122.5,,,,,,,,,,,,,,4. P,4,4,1
72,72,675,16670.1,21751,2014-11-01,2013-03-01,24179,24159,,197.95,1049.5,1442.0,1040.4,677.7,693.3,315.5,613.0,819.9,1057.8,944.2,776.6,770.05,784.1,801.6,694.0,777.0,761.0,900.0,969.0,585.5,155.5,161.5,103.0,97.0,203.0,105.5,11.5,864.5,153.0,4028.0,4369.5,1137.0,12.0,1714.1,3555.0,2. G,2,4,0
73,73,686,3025.0,1522,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,227.5,145.5,335.5,264.5,310.5,295.5,303.5,161.0,,50.0,119.5,648.0,164.0,177.0,1593.0,136.0,128.0,10.0,,5.0,36.5,558.0,30.0,,337.5,14.0,,,3. M,3,4,0
74,74,687,117.0,46,2014-01-01,2013-03-01,24169,24159,,56.5,,,,,,,,,,60.5,,,,,,,,,,,33.0,35.5,4.5,0.5,,15.0,,8.0,,,17.0,3.5,,,,4. P,4,2,10
75,75,708,166.0,182,2014-11-01,2014-03-01,24179,24171,,,,,,,,,,,,,,18.5,,45.5,45.5,12.5,29.0,7.5,0.5,7.0,53.0,59.0,4.0,14.5,2.5,,,3.5,2.5,,0.5,10.5,16.0,,,4. P,4,4,0
76,76,709,3391.0,2118,2014-11-01,2013-04-01,24179,24160,,,107.0,317.0,131.5,,216.5,222.0,105.5,241.5,56.0,75.5,347.0,147.5,38.0,445.5,111.0,5.0,275.0,492.0,7.0,50.5,2477.5,407.5,163.0,6.5,1.0,,,0.5,40.5,26.0,0.5,261.5,6.5,,,3. M,3,4,0
77,77,715,1848.5,2643,2014-11-01,2013-02-01,24179,24158,6.0,,,,,,,,,,,15.0,353.5,65.5,387.0,,122.5,290.0,111.5,184.0,306.5,7.0,306.5,547.5,199.0,590.5,42.5,33.0,,23.5,48.0,32.0,0.5,22.5,2.5,,0.5,3. M,3,4,0
78,78,716,17347.6,7806,2014-11-01,2013-02-01,24179,24158,226.5,505.5,490.5,116.0,546.15,933.6,4045.9,1030.3,575.55,1753.35,487.3,792.7,607.6,397.75,652.8,568.1,364.1,132.1,895.8,628.3,964.2,633.5,203.0,425.0,628.0,6381.0,564.5,76.0,42.5,147.0,117.5,483.0,439.5,5342.5,32.5,2318.6,147.0,2. G,2,4,0
79,79,731,185.5,249,2013-04-01,2013-03-01,24160,24159,,56.0,129.5,,,,,,,,,,,,,,,,,,,,73.0,39.0,9.0,12.0,11.0,20.0,4.0,,7.5,2.0,2.5,5.5,,,,4. P,4,1,19
80,80,736,6644.4,2330,2014-07-01,2013-02-01,24175,24158,1079.8,2808.5,588.7,404.2,271.7,,,30.0,189.0,84.6,224.3,26.6,556.9,172.5,91.5,40.1,,76.0,,,,,1006.0,366.0,875.5,451.0,409.0,144.0,,446.5,104.8,208.0,1080.0,1111.5,2.5,153.1,286.5,3. M,3,3,4
81,81,742,22.0,15,2014-10-01,2013-10-01,24178,24166,,,,,,,,,7.5,,1.0,,1.0,8.0,4.0,,,,,,0.5,,,3.5,,1.5,,,,,,10.0,,,,7.0,,4. P,4,4,1
82,82,753,9877.1,5735,2014-11-01,2013-02-01,24179,24158,169.9,884.5,339.35,555.35,416.95,645.85,459.9,1129.9,174.6,661.6,902.7,389.2,474.25,336.4,569.95,372.25,271.8,302.55,111.6,252.65,282.5,173.35,14.5,61.5,34.0,288.5,92.0,101.5,419.0,1730.0,423.9,607.5,1905.5,1450.0,50.0,1175.7,1523.5,3. M,3,4,0
83,83,755,818.5,972,2013-12-01,2013-03-01,24168,24159,,5.0,,,,219.5,251.0,131.5,94.5,54.0,63.0,,,,,,,,,,,,336.5,382.0,1.0,,0.5,,8.5,2.5,,,,82.5,5.0,,,4. P,4,2,11
84,84,776,26873.5,52,2014-07-01,2013-09-01,24175,24165,,,,,,,,1.0,,,,7.0,13549.5,5126.0,2316.0,2780.0,400.0,2694.0,,,,,16315.0,8052.5,,855.0,570.0,1081.0,,,,,,,,,,2. G,2,3,4
85,85,781,16140.1,1610,2014-11-01,2013-02-01,24179,24158,150.0,765.0,1345.0,566.5,1187.0,680.5,287.0,547.0,584.5,703.0,1072.0,1116.6,614.0,688.5,292.0,437.5,1269.0,1531.0,636.0,572.0,593.0,503.0,3041.0,12755.0,21.5,41.0,10.5,97.5,,,,38.0,,15.5,46.5,72.6,1.0,2. G,2,4,0
86,86,783,3497.0,224,2014-10-01,2014-02-01,24178,24170,,,,,,,,,,,,,35.0,30.0,150.0,560.0,1653.0,265.0,199.0,95.0,510.0,,660.0,2837.0,,,,,,,,,,,,,,3. M,3,4,1
87,87,785,558.5,178,2014-11-01,2014-05-01,24179,24173,,,,,,,,,,,,,,,,137.0,100.0,,222.5,17.5,31.0,50.5,31.0,103.0,108.5,92.0,24.0,24.0,,,25.0,3.0,14.0,45.5,66.0,,22.5,4. P,4,4,0
88,88,787,542.0,51,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,10.0,52.0,65.0,124.0,100.0,38.0,33.0,10.0,35.0,,52.0,23.0,165.0,369.0,,,,1.0,,,1.0,4.0,,1.0,,,1.0,4. P,4,4,0
89,89,792,12911.5,3007,2014-09-01,2013-03-01,24177,24159,,10.0,10.0,952.5,130.0,300.0,157.5,70.0,1015.0,80.0,1553.5,2064.0,1466.5,1435.5,274.0,1140.5,920.0,614.5,613.5,104.5,,,8511.0,3023.0,51.0,68.0,50.0,,,52.0,768.5,,,263.0,125.0,,,2. G,2,3,2
90,90,793,19431.55,1663,2014-06-01,2013-03-01,24174,24159,,0.5,,,,,,3644.0,3912.5,3216.5,3943.6,578.5,,,192.5,3800.45,143.0,,,,,,565.0,303.0,9251.0,45.5,400.5,417.5,73.0,5316.5,15.0,263.5,1250.5,315.5,25.5,107.55,1082.0,2. G,2,3,5
91,91,795,219.0,77,2014-08-01,2013-03-01,24176,24159,,31.0,6.0,27.0,25.0,21.0,6.0,,,33.0,21.0,15.0,3.0,6.0,6.0,6.0,,,13.0,,,,93.0,125.0,,,0.5,0.5,,,,,,,,,,4. P,4,3,3
92,92,799,13.0,3,2013-07-01,2013-07-01,24163,24163,,,,,,13.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,4. P,4,1,16
93,93,802,1528.5,523,2013-05-01,2013-03-01,24161,24159,,392.0,1071.0,65.5,,,,,,,,,,,,,,,,,,,381.0,267.0,91.5,237.0,25.5,,26.0,288.5,,,,150.0,58.0,3.0,1.0,4. P,4,1,18
94,94,808,10.0,5,2014-08-01,2014-01-01,24176,24169,,,,,,,,,,,,2.0,,,,,4.0,,4.0,,,,4.0,6.0,,,,,,,,,,,,,,4. P,4,3,3
95,95,810,1172.0,231,2014-10-01,2013-12-01,24178,24168,,,,,,,,,,,70.0,60.0,44.5,66.0,183.0,,69.0,351.5,,50.0,278.0,,482.0,403.0,8.0,46.0,4.0,6.0,,8.0,,94.0,26.0,69.0,,7.0,19.0,4. P,4,4,1
96,96,813,2255.0,220,2014-11-01,2013-02-01,24179,24158,47.0,153.0,133.0,,44.0,113.0,24.0,85.0,,180.0,190.0,120.0,76.0,21.0,117.0,247.0,87.0,107.0,51.0,120.0,171.0,169.0,232.0,1065.0,4.0,,,,,,,954.0,,,,,,3. M,3,4,0
97,97,821,70976.0,3586,2014-11-01,2013-03-01,24179,24159,,22.0,,2288.0,2075.5,1964.5,636.0,2510.0,4008.0,6394.0,6330.5,2132.5,1883.0,5123.0,3513.5,4788.0,6219.0,2885.0,3482.0,4579.5,6427.0,3715.0,64290.0,357.0,81.5,,28.5,,71.5,4728.5,,56.0,,1328.0,35.0,,,1. TG,1,4,0
98,98,825,15.0,4,2014-09-01,2014-09-01,24177,24177,,,,,,,,,,,,,,,,,,,,15.0,,,7.0,8.0,,,,,,,,,,,,,,4. P,4,3,2
99,99,826,2035.0,1541,2014-11-01,2013-02-01,24179,24158,127.5,143.5,136.0,359.0,97.0,119.0,51.5,80.5,41.0,26.0,223.5,277.0,118.5,61.0,31.0,59.0,9.5,17.0,14.0,2.0,9.5,32.0,466.5,917.5,3.5,486.0,4.5,33.5,,2.0,,,2.0,119.5,,,,3. M,3,4,0
